x1,id_orig,country,comm_name,sci_name,id_level,species_cat,species_cat_name,region_fao,dbase,catch_share,policy,scenario,year,catch,biomass,profits,bv_bmsy,fv_fmsy,msy,price,g,k,c,phi,region_fao_chr,n_regions,region_fao_split,iso3
29,AFSC-WPOLLEBS-1964-2013-CHING,USA,Walleye pollock Eastern Bering Sea,Theragra chalcogramma,Species,32,"Cods, hakes, haddocks",67,RAM,1,Historic,Historic,2012,1200000,7870000,660903029.4,1.08,0.719,2590849.321,875.142,0.377,17179834.63,2124237037,0.188,67,1,67,USA
30,AFSC-WPOLLGA-1970-2014-HIVELY,USA,Walleye pollock Gulf of Alaska,Theragra chalcogramma,Species,32,"Cods, hakes, haddocks",67,RAM,1,Historic,Historic,2012,104000,1110000,75763687.59,1.12,0.414,208037.848,875.142,0.168,3100143.567,488725042.8,0.188,67,1,67,USA
31,AFSC-YSOLEBSAI-1949-2010-STACHURA,USA,Yellowfin sole Bering Sea and Aleutian Islands,Limanda aspera,Species,31,"Flounders, halibuts, soles",67,RAM,1,Historic,Historic,2012,108000,2110000,91722389.15,1.81,0.615,108369.657,966.515,0.087,3131364.037,573672778.5,0.188,67,1,67,USA
32,AFWG-CODNEAR-1946-2011-CHING,Multinational,Atlantic cod Northeast Arctic,Gadus morhua,Species,32,"Cods, hakes, haddocks",27,RAM,1,Historic,Historic,2012,720000,3640000,1627938521,1.35,0.739,722200.739,2752.183,0.268,6742885.432,2905438646,0.188,27,1,27,NA
33,AFWG-GHALNEAR-1960-2010-NEUBAUER,Multinational,Greenland halibut Northeast Arctic,Reinhardtius hippoglossoides,Species,31,"Flounders, halibuts, soles",27,RAM,0,Historic,Historic,2012,15700,211000,32410332.44,0.184,0.794,24139.149,3111.072,0.094,645071.739,482577951,0.188,27,1,27,NA
34,AFWG-GOLDREDNEAR-1983-2010-NEUBAUER,Multinational,Golden Redfish Northeast Arctic,Sebastes norvegicus,Species,34,Miscellaneous demersal fishes,27,RAM,0,Historic,Historic,2012,7740,39000,-24563641.92,0.068,4.46,13758.182,730.937,0.044,773177.944,247434956.5,0.188,27,1,27,NA
35,AFWG-HADNEAR-1947-2012-CHING,Multinational,Haddock Northeast Arctic,Melanogrammus aeglefinus,Species,32,"Cods, hakes, haddocks",27,RAM,1,Historic,Historic,2012,310000,1050000,451595278.6,1.89,1.13,146223,1705.326,0.263,1389515.753,372955897.1,0.188,27,1,27,NA
36,AFWG-POLLNEAR-1957-2012-CHING,Multinational,Pollock Northeast Arctic,Pollachius virens,Species,32,"Cods, hakes, haddocks",27,RAM,1,Historic,Historic,2012,157000,745000,182535662.7,0.962,0.945,172886.218,1592.042,0.223,1937771.465,510213644.2,0.188,27,1,27,NA
37,ASMFC-ATLCROAKMATLC-1973-2002-STANTON,USA,Atlantic croaker Mid-Atlantic Coast,Micropogonias undulatus,Species,33,Miscellaneous coastal fishes,2131,RAM,0,Historic,Historic,2012,16300,161464.4,22070192.71,2.5,0.282,19477.785,1503.069,0.335,145394.573,52217486.05,0.188,2131,2,21,USA
37,ASMFC-ATLCROAKMATLC-1973-2002-STANTON,USA,Atlantic croaker Mid-Atlantic Coast,Micropogonias undulatus,Species,33,Miscellaneous coastal fishes,2131,RAM,0,Historic,Historic,2012,16300,161464.4,22070192.71,2.5,0.282,19477.785,1503.069,0.335,145394.573,52217486.05,0.188,2131,2,31,USA
38,ASMFC-LOBSTERGB-1981-2007-STANTON,USA,American lobster Georges Bank,Homarus americanus,Species,43,"Lobsters, spiny-rock lobsters",21,RAM,0,Historic,Historic,2012,2060,2321.624,15562229.89,1.41,0.528,2416.503,8798.31,1.472,4103.226,3554477.025,0.188,21,1,21,USA
39,ASMFC-LOBSTERGOM-1981-2007-STANTON,USA,American lobster Gulf of Maine,Homarus americanus,Species,43,"Lobsters, spiny-rock lobsters",21,RAM,0,Historic,Historic,2012,32700,17507.66,155360780.7,0.581,1.4,35133.473,8798.31,1.165,75380.845,70047367.48,0.188,21,1,21,USA
40,ASMFC-LOBSTERSNE-1981-2007-STANTON,USA,American lobster Southern New England,Homarus americanus,Species,43,"Lobsters, spiny-rock lobsters",21,RAM,0,Historic,Historic,2012,2440,7507.59,6912984.039,0.12,1.1,5286.667,8798.31,0.258,51243.648,74859395.17,0.188,21,1,21,USA
41,ASMFC-PANDALGOM-1960-2009-IDOINE,USA,Northern shrimp Gulf of Maine,Pandalus borealis,Species,45,"Shrimps, prawns",21,RAM,0,Historic,Historic,2012,4780,28100,7296418.901,1.57,0.61,4993.744,1869.238,0.279,44756.348,16380895.76,0.188,21,1,21,USA
42,CBP-BCRABCHESB-1990-2010-HIVELY,USA,Blue Crab Chesapeake Bay,Callinectes sapidus,Species,42,"Crabs, sea-spiders",21,RAM,0,Historic,Historic,2012,24400,625534.547,57279358.46,1.27,0.568,36899.356,3411.591,0.075,1231423.308,1573139135,0.188,21,1,21,USA
43,CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,Multinational,Antarctic toothfish Ross Sea,Dissostichus mawsoni,Species,34,Miscellaneous demersal fishes,88,RAM,0,Historic,Historic,2012,3080,75800,13972575.02,2.5,0.322,3105.398,5037.416,0.165,47007.542,69948218.15,0.188,88,1,88,NA
44,CCSBT-SC-SBT-1950-2011-CHING,Multinational,Southern bluefin tuna Southern Oceans,Thunnus maccoyii,Species,36,"Tunas, bonitos, billfishes",58,RAM,0,Historic,Historic,2012,9510,190000,-7740863.243,0.23,0.76,34547.1,8658.011,0.091,952078.745,2914443401,0.188,58,1,58,NA
45,CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI,Multinational,Anchovy South of Sicily,Engraulis encrasicolus,Species,35,"Herrings, sardines, anchovies",37,RAM,0,Historic,Historic,2012,4370,9470,1443647.313,0.669,2.769,1769.25,956.821,0.167,26536.209,7479464.59,0.188,37,1,37,NA
46,CNR-IAMC-SARDMEDGSA16-1998-2011-BANOBI,Multinational,Sardine South of Sicily,Sardina pilchardus,Species,35,"Herrings, sardines, anchovies",37,RAM,0,Historic,Historic,2012,2670,15300,407011.219,0.47,1.07,3980.25,508.768,0.163,60990.903,9199790.445,0.188,37,1,37,NA
47,CSIRO-BIGHTREDSE-1958-2007-FULTON,Australia,Bight redfish Southeast Australia,Centroberyx gerrardi,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,1020,54000,528952.579,0.983,1.07,2154.489,2198.596,0.04,134661.699,103047253.6,0.188,5781,2,57,AUS
47,CSIRO-BIGHTREDSE-1958-2007-FULTON,Australia,Bight redfish Southeast Australia,Centroberyx gerrardi,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,1020,54000,528952.579,0.983,1.07,2154.489,2198.596,0.04,134661.699,103047253.6,0.188,5781,2,81,AUS
48,CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,Australia,Deepwater flathead Southeast Australia,Platycephalus conatus,Species,33,Miscellaneous coastal fishes,5781,RAM,1,Historic,Historic,2012,1040,10200,1790391.385,1.43,1.28,645.12,2401.932,0.099,16255.125,10347440.93,0.188,5781,2,57,AUS
48,CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,Australia,Deepwater flathead Southeast Australia,Platycephalus conatus,Species,33,Miscellaneous coastal fishes,5781,RAM,1,Historic,Historic,2012,1040,10200,1790391.385,1.43,1.28,645.12,2401.932,0.099,16255.125,10347440.93,0.188,5781,2,81,AUS
49,CSIRO-GEMFISHSE-1966-2007-FULTON,Australia,common gemfish Southeast Australia,Rexea solandri,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,102,3770,52349.852,0.249,0.051,1689.794,579.301,0.101,41696.34,6361483.259,0.188,5781,2,57,AUS
49,CSIRO-GEMFISHSE-1966-2007-FULTON,Australia,common gemfish Southeast Australia,Rexea solandri,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,102,3770,52349.852,0.249,0.051,1689.794,579.301,0.101,41696.34,6361483.259,0.188,5781,2,81,AUS
50,CSIRO-MORWONGSE-1913-2007-FULTON,Australia,Jackass morwong Southeast Australia,Nemadactylus macropterus,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,396,6760,-234596.263,0.313,1.88,699.895,1793.27,0.048,36461.789,21547762.98,0.188,5781,2,57,AUS
50,CSIRO-MORWONGSE-1913-2007-FULTON,Australia,Jackass morwong Southeast Australia,Nemadactylus macropterus,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,396,6760,-234596.263,0.313,1.88,699.895,1793.27,0.048,36461.789,21547762.98,0.188,5781,2,81,AUS
51,CSIRO-NZLINGESE-1968-2007-FULTON,Australia,New Zealand ling Eastern half of Southeast Australia,Genypterus blacodes,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,736,4260,1128608.682,0.59,2.3,249.54,2294.5,0.035,17617.312,14592996.82,0.188,5781,2,57,AUS
51,CSIRO-NZLINGESE-1968-2007-FULTON,Australia,New Zealand ling Eastern half of Southeast Australia,Genypterus blacodes,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,736,4260,1128608.682,0.59,2.3,249.54,2294.5,0.035,17617.312,14592996.82,0.188,5781,2,81,AUS
52,CSIRO-NZLINGWSE-1968-2007-FULTON,Australia,New Zealand ling Western half of Southeast Australia,Genypterus blacodes,Species,34,Miscellaneous demersal fishes,57,RAM,1,Historic,Historic,2012,465,7760,940438.619,1.08,0.219,1198.432,2294.5,0.16,18726.355,9866660.435,0.188,57,1,57,AUS
53,CSIRO-OROUGHYCASCADE-1987-2006-FULTON,Australia,Orange roughy Cascade Plateau,Hoplostethus atlanticus,Species,34,Miscellaneous demersal fishes,57,RAM,1,Historic,Historic,2012,800,74000,824994.772,2.39,0.363,1909.694,1308.394,0.062,77390.291,30947016.33,0.188,57,1,57,AUS
54,CSIRO-OROUGHYSE-1978-2007-FULTON,Australia,Orange roughy Southeast Australia,Hoplostethus atlanticus,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,772,75400,-837568.589,0.478,1.9,1850.446,1308.394,0.049,94436.716,40468370.03,0.188,5781,2,57,AUS
54,CSIRO-OROUGHYSE-1978-2007-FULTON,Australia,Orange roughy Southeast Australia,Hoplostethus atlanticus,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,772,75400,-837568.589,0.478,1.9,1850.446,1308.394,0.049,94436.716,40468370.03,0.188,5781,2,81,AUS
55,CSIRO-PTOOTHFISHMI-1975-2010-FAY,Australia,Patagonian toothfish Macquarie Island,Dissostichus eleginoides,Species,34,Miscellaneous demersal fishes,81,RAM,1,Historic,Historic,2012,68.7,6100,405540.626,2.26,0.194,184.369,6599.015,0.081,5695.875,10589568.52,0.188,81,1,81,AUS
56,CSIRO-SILVERFISHSE-1978-2006-FULTON,Australia,Silverfish Southeast Australia,Seriolella punctata,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,2590,14100,4563089.38,1.03,0.197,1133.372,1793.27,0.086,32894.071,16310370.12,0.188,5781,2,57,AUS
56,CSIRO-SILVERFISHSE-1978-2006-FULTON,Australia,Silverfish Southeast Australia,Seriolella punctata,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,2590,14100,4563089.38,1.03,0.197,1133.372,1793.27,0.086,32894.071,16310370.12,0.188,5781,2,81,AUS
57,CSIRO-SWHITSE-1945-2007-FULTON,Australia,School whiting Southeast Australia,Sillago flindersi,Species,33,Miscellaneous coastal fishes,5781,RAM,1,Historic,Historic,2012,1520,7770,1596071.221,0.663,3.19,571.571,2401.932,0.076,18733.4,12903819.47,0.188,5781,2,57,AUS
57,CSIRO-SWHITSE-1945-2007-FULTON,Australia,School whiting Southeast Australia,Sillago flindersi,Species,33,Miscellaneous coastal fishes,5781,RAM,1,Historic,Historic,2012,1520,7770,1596071.221,0.663,3.19,571.571,2401.932,0.076,18733.4,12903819.47,0.188,5781,2,81,AUS
58,CSIRO-TIGERFLATSE-1913-2006-FULTON,Australia,Tiger flathead Southeast Australia,Neoplatycephalus richardsoni,Species,33,Miscellaneous coastal fishes,5781,RAM,1,Historic,Historic,2012,3200,26300,7686183.17,2.09,0,1873.801,2401.932,0.147,31825.645,17998283.55,0.188,5781,2,57,AUS
58,CSIRO-TIGERFLATSE-1913-2006-FULTON,Australia,Tiger flathead Southeast Australia,Neoplatycephalus richardsoni,Species,33,Miscellaneous coastal fishes,5781,RAM,1,Historic,Historic,2012,3200,26300,7686183.17,2.09,0,1873.801,2401.932,0.147,31825.645,17998283.55,0.188,5781,2,81,AUS
59,CSIRO-WAREHOUESE-1984-2006-FULTON,Australia,Blue Warehou Eastern half of Southeast Australia,Seriolella brama,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,172,1550,124719.9,0.488,0.847,383.746,1793.27,0.17,5643.577,2282077.337,0.188,5781,2,57,AUS
59,CSIRO-WAREHOUESE-1984-2006-FULTON,Australia,Blue Warehou Eastern half of Southeast Australia,Seriolella brama,Species,34,Miscellaneous demersal fishes,5781,RAM,1,Historic,Historic,2012,172,1550,124719.9,0.488,0.847,383.746,1793.27,0.17,5643.577,2282077.337,0.188,5781,2,81,AUS
60,CSIRO-WAREHOUWSE-1984-2006-FULTON,Australia,Blue Warehou Western half of Southeast Australia,Seriolella brama,Species,34,Miscellaneous demersal fishes,57,RAM,1,Historic,Historic,2012,600,1310,-1079920.694,0.413,7.95,245.063,1793.27,0.101,6092.135,2883631.399,0.188,57,1,57,AUS
61,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,Canada,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Sebastes pinniger,Species,34,Miscellaneous demersal fishes,67,RAM,1,Historic,Historic,2012,800,8890,613737.369,1.37,0.737,713.792,957.527,0.116,15379.111,3723635.363,0.188,67,1,67,CAN
62,DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,Canada,Atlantic cod NAFO 4VsW,Gadus morhua,Species,32,"Cods, hakes, haddocks",21,RAM,1,Historic,Historic,2012,83,7626.198,38382.51,0.069,0.02,41275.118,2752.183,0.374,276054.438,107620803.8,0.188,21,1,21,CAN
63,DFO-MAR-COD4X-1953-2008-HIVELY,Canada,Atlantic cod NAFO 4X,Gadus morhua,Species,32,"Cods, hakes, haddocks",21,RAM,1,Historic,Historic,2012,4130,13000,-24979288.09,0.037,2.29,17061.25,2752.183,0.139,307035.309,161083529.6,0.188,21,1,21,CAN
64,DFO-MAR-HAD4X5Y-1970-2011-CHING,Canada,Haddock NAFO-4X5Y,Melanogrammus aeglefinus,Species,32,"Cods, hakes, haddocks",21,RAM,1,Historic,Historic,2012,5440,45900,7865428.59,0.822,0.305,14700,1705.326,0.2,183732.624,53541018.42,0.188,21,1,21,CAN
65,DFO-NFLD-COD2J3KL-1850-2011-CHING,Canada,Atlantic cod NAFO 2J3KL,Gadus morhua,Species,32,"Cods, hakes, haddocks",21,RAM,1,Historic,Historic,2012,2480,103000,4132383.922,0.049,0.241,23602.7,2752.183,0.1,590094.378,341679550.3,0.188,21,1,21,CAN
66,DFO-NFLD-COD3Ps-1959-2011-CHING,Canada,Atlantic cod NAFO 3Ps,Gadus morhua,Species,32,"Cods, hakes, haddocks",21,RAM,1,Historic,Historic,2012,4320,30700,9638939.707,0.779,0.146,37840.874,2752.183,0.961,98400.903,28894822.56,0.188,21,1,21,CAN
67,DFO-NFLD-MONK2J3KLNOPs-1977-2000-PREFONTAINE,Canada,Monkfish Labrador Shelf - Grand Banks - St. Pierre Bank,Lophius americanus,Species,34,Miscellaneous demersal fishes,21,RAM,0,Historic,Historic,2012,126,2590,374603.641,2.14,0.041,1425.564,3222.056,1.177,3028.861,1599507.673,0.188,21,1,21,CAN
68,DFO-NFLD-SCALLGB-1978-2007-ANDERSON,Canada,Sea scallop Georges Bank,Placopecten magellanicus,Species,55,"Scallops, pectens",21,RAM,1,Historic,Historic,2012,4000,26100,8403677.62,1.79,0.368,6060.29,2252.607,0.416,36402.755,6954929.847,0.188,21,1,21,CAN
69,DFO-NFLD-SNOWCRAB2J-1995-2008-ANDERSON,Canada,Snow Crab Division 2J,Chionoecetes opilio,Species,42,"Crabs, sea-spiders",21,RAM,1,Historic,Historic,2012,2410,1730,-768392.195,0.36,1.65,4064.348,4469.184,0.845,12021.934,7488151.147,0.188,21,1,21,CAN
70,DFO-NFLD-SNOWCRAB3K-1995-2008-ANDERSON,Canada,Snow Crab Division 3K,Chionoecetes opilio,Species,42,"Crabs, sea-spiders",21,RAM,1,Historic,Historic,2012,11600,14300,43020090.02,1.6,0.515,14118.437,4469.184,1.574,22429.582,11594092.3,0.188,21,1,21,CAN
71,DFO-NFLD-SNOWCRAB3NO-1995-2008-ANDERSON,Canada,Snow Crab Division 3NO,Chionoecetes opilio,Species,42,"Crabs, sea-spiders",21,RAM,1,Historic,Historic,2012,4390,1670,565030.599,0.437,2.29,4382.912,4469.184,1.15,9532.176,5414097.325,0.188,21,1,21,CAN
72,DFO-NFLD-SNOWCRAB3Ps-1995-2008-ANDERSON,Canada,Snow Crab Division 3Ps,Chionoecetes opilio,Species,42,"Crabs, sea-spiders",21,RAM,1,Historic,Historic,2012,3180,354,-10580348.86,0.257,2.77,4452.881,4469.184,3.233,3443.263,1434082.688,0.188,21,1,21,CAN
73,DFO-PAC-ESOLEHS-1944-2001-COLLIE,Canada,English sole Hecate Strait,Parophrys vetulus,Species,31,"Flounders, halibuts, soles",67,RAM,1,Historic,Historic,2012,414,3410,491955.025,1.44,0.326,880.349,1339.125,0.373,5908.023,967773.548,0.188,67,1,67,CAN
74,DFO-PAC-HERRCC-1951-2007-COLLIE,Canada,Pacific herring Central Coast,Clupea pallasii,Species,35,"Herrings, sardines, anchovies",67,RAM,0,Historic,Historic,2012,398,11200,86862.124,0.404,0.08,9259.664,349.062,0.446,51893.075,3971483.424,0.188,67,1,67,CAN
75,DFO-PAC-HERRQCI-1951-2007-COLLIE,Canada,Pacific herring Queen Charlotte Islands,Clupea pallasii,Species,35,"Herrings, sardines, anchovies",67,RAM,0,Historic,Historic,2012,0,9150,0,0.286,0,6274.509,349.062,0.261,60050.391,5396171.677,0.188,67,1,67,CAN
